transaction_id,account_id,merchant_id,amount,currency,status,transaction_date
TXN0036,ACC009,MER003,840.27,USD,approved,2026-06-03
TXN0037,ACC010,MER003,397.18,MXN,approved,2026-07-14
TXN0038,ACC001,MER009,272.94,USD,approved,2026-05-07
TXN0039,ACC004,MER002,669.46,EUR,approved,2026-05-12
TXN0040,ACC020,MER004,647.26,EUR,approved,2026-07-08
TXN0041,ACC016,MER005,815.28,USD,approved,2026-06-17
TXN0042,ACC009,MER001,8.17,EUR,approved,2026-04-11
TXN0043,ACC015,MER009,636.57,MXN,approved,2026-03-29
TXN0044,ACC003,MER003,493.3,GBP,approved,2026-06-19
TXN0045,ACC005,MER001,280.89,USD,approved,2026-04-23
TXN0046,ACC008,MER002,321.54,MXN,declined,2026-04-09
TXN0047,ACC008,MER003,878.7,EUR,declined,2026-03-07
TXN0048,ACC006,MER006,705.24,CAD,approved,2026-05-08
TXN0049,ACC006,MER002,347.37,USD,declined,2026-04-26
TXN0050,ACC007,MER008,317.94,EUR,approved,2026-03-07
TXN0051,ACC007,MER007,298.79,USD,approved,2026-05-29
TXN0052,ACC017,MER007,613.17,MXN,approved,2026-03-08
TXN0053,ACC004,MER005,164.82,GBP,approved,2026-03-28
TXN0054,ACC020,MER007,314.39,GBP,declined,2026-07-09
TXN0055,ACC004,MER007,810.06,EUR,approved,2026-03-12
TXN0056,ACC014,MER001,470.33,MXN,approved,2026-06-02
TXN0057,ACC014,MER002,854.24,GBP,approved,2026-04-01
TXN0058,ACC010,MER009,281.81,CAD,approved,2026-06-12
TXN0059,ACC010,MER009,118.92,CAD,declined,2026-04-14
TXN0060,ACC020,MER010,274.35,MXN,approved,2026-05-17
TXN0061,ACC010,MER004,389.75,MXN,approved,2026-06-28
TXN0062,ACC015,MER008,609.69,MXN,declined,2026-04-13
TXN0063,ACC003,MER005,466.33,MXN,approved,2026-03-24
TXN0064,ACC008,MER005,206.05,EUR,approved,2026-03-07
TXN0065,ACC002,MER004,885.62,MXN,approved,2026-06-25
TXN0066,ACC014,MER010,179.02,CAD,declined,2026-06-11
TXN0067,ACC008,MER003,592.17,USD,approved,2026-06-17
TXN0068,ACC008,MER003,724.68,MXN,declined,2026-03-13
TXN0069,ACC018,MER004,826.14,USD,declined,2026-04-04
TXN0070,ACC015,MER009,889.16,MXN,approved,2026-06-22
TXN0071,ACC020,MER009,386.93,MXN,declined,2026-04-10
TXN0072,ACC016,MER008,236.98,EUR,approved,2026-07-12
TXN0073,ACC016,MER004,250.76,USD,approved,2026-04-30
TXN0074,ACC009,MER006,291.14,MXN,approved,2026-04-05
TXN0075,ACC005,MER004,347.82,EUR,approved,2026-03-17
TXN0076,ACC014,MER007,301.14,CAD,declined,2026-03-16
TXN0077,ACC007,MER007,353.58,MXN,approved,2026-07-26
TXN0078,ACC013,MER008,10.28,GBP,approved,2026-06-08
TXN0079,ACC014,MER009,674.03,MXN,approved,2026-07-03
TXN0080,ACC008,MER005,395.07,USD,declined,2026-05-26
TXN0081,ACC013,MER003,757.25,EUR,approved,2026-06-09
TXN0082,ACC019,MER010,598.38,USD,declined,2026-04-04
TXN0083,ACC015,MER003,50.0,CAD,approved,2026-04-24
TXN0084,ACC015,MER006,307.06,CAD,approved,2026-06-16
TXN0085,ACC009,MER002,425.92,MXN,approved,2026-05-29
TXN0086,ACC008,MER002,704.2,USD,approved,2026-05-03
TXN0087,ACC007,MER001,561.1,EUR,approved,2026-06-30
TXN0088,ACC004,MER010,853.24,CAD,approved,2026-06-03
TXN0089,ACC006,MER010,548.49,USD,approved,2026-05-19
TXN0090,ACC004,MER010,27.98,GBP,declined,2026-06-10
TXN0091,ACC007,MER002,534.93,EUR,approved,2026-05-17
TXN0092,ACC020,MER002,717.62,MXN,approved,2026-05-28
TXN0093,ACC018,MER007,597.06,USD,approved,2026-03-04
TXN0094,ACC014,MER008,99.46,GBP,declined,2026-04-09
TXN0095,ACC014,MER003,661.75,GBP,declined,2026-06-28
TXN0096,ACC014,MER010,245.21,EUR,approved,2026-05-11
TXN0097,ACC015,MER004,676.68,MXN,declined,2026-05-26
TXN0098,ACC001,MER008,766.6,EUR,declined,2026-04-24
TXN0099,ACC012,MER005,309.6,MXN,approved,2026-07-21
TXN0100,ACC001,MER009,853.52,USD,approved,2026-06-13
TXN0101,ACC016,MER009,683.56,CAD,declined,2026-06-23
TXN0102,ACC001,MER002,268.34,CAD,approved,2026-05-18
TXN0103,ACC019,MER006,428.57,MXN,approved,2026-06-17
TXN0104,ACC018,MER006,319.87,CAD,approved,2026-05-18
TXN0105,ACC009,MER004,112.99,EUR,approved,2026-03-31
TXN0106,ACC018,MER003,176.43,CAD,approved,2026-07-29
TXN0107,ACC017,MER010,258.28,USD,approved,2026-05-15
TXN0108,ACC008,MER006,165.6,USD,approved,2026-05-10
TXN0109,ACC002,MER001,500.26,EUR,declined,2026-03-27
TXN0110,ACC001,MER010,259.48,CAD,declined,2026-05-27
TXN0111,ACC006,MER001,230.97,CAD,approved,2026-03-17
TXN0112,ACC013,MER008,71.3,USD,approved,2026-04-08
TXN0113,ACC019,MER005,81.24,EUR,approved,2026-07-21
TXN0114,ACC014,MER010,538.53,MXN,approved,2026-07-12
TXN0115,ACC013,MER008,818.11,GBP,declined,2026-05-18
TXN0116,ACC019,MER010,58.91,USD,approved,2026-04-24
TXN0117,ACC009,MER002,145.57,EUR,approved,2026-04-10
TXN0118,ACC001,MER007,408.2,MXN,declined,2026-05-14
TXN0119,ACC002,MER004,262.85,GBP,declined,2026-03-19
TXN0120,ACC008,MER005,710.11,MXN,approved,2026-06-17
TXN0121,ACC004,MER009,206.2,EUR,approved,2026-04-06
TXN0122,ACC003,MER001,153.5,GBP,approved,2026-06-21
TXN0123,ACC004,MER008,621.37,CAD,approved,2026-07-07
TXN0124,ACC018,MER008,396.79,MXN,approved,2026-06-19
TXN0125,ACC011,MER010,229.08,USD,approved,2026-07-26
TXN0126,ACC019,MER001,899.62,GBP,approved,2026-04-14
TXN0127,ACC016,MER009,588.1,GBP,approved,2026-07-28
TXN0128,ACC014,MER008,872.3,CAD,approved,2026-06-13
TXN0129,ACC011,MER006,604.77,EUR,approved,2026-06-14
TXN0130,ACC016,MER005,598.01,CAD,approved,2026-06-25
TXN0131,ACC003,MER006,230.9,USD,declined,2026-07-10
TXN0132,ACC001,MER009,418.47,USD,approved,2026-07-11
TXN0133,ACC012,MER010,682.02,CAD,approved,2026-04-22
TXN0134,ACC009,MER009,122.26,GBP,declined,2026-07-03
TXN0135,ACC004,MER001,875.97,MXN,approved,2026-04-10
TXN0136,ACC010,MER009,17.24,CAD,approved,2026-04-27
TXN0137,ACC004,MER008,852.62,EUR,declined,2026-05-14
TXN0138,ACC017,MER005,376.86,CAD,declined,2026-05-02
TXN0139,ACC015,MER009,134.45,EUR,approved,2026-03-18
TXN0140,ACC009,MER007,309.19,MXN,approved,2026-03-01
TXN0141,ACC010,MER005,754.54,MXN,declined,2026-04-08
TXN0142,ACC015,MER009,438.49,GBP,declined,2026-06-25
TXN0143,ACC011,MER004,882.79,EUR,declined,2026-04-29
TXN0144,ACC014,MER001,289.77,CAD,declined,2026-06-07
TXN0145,ACC005,MER008,868.52,EUR,approved,2026-03-26
TXN0146,ACC015,MER002,475.73,CAD,approved,2026-04-06
TXN0147,ACC014,MER003,71.97,GBP,approved,2026-06-10
TXN0148,ACC003,MER006,767.85,MXN,declined,2026-05-21
TXN0149,ACC016,MER009,37.13,USD,approved,2026-05-13
TXN0150,ACC008,MER002,393.4,USD,approved,2026-06-22
TXN0151,ACC006,MER005,813.56,USD,approved,2026-03-15
TXN0152,ACC010,MER006,340.48,EUR,approved,2026-07-14
TXN0153,ACC014,MER010,615.21,EUR,approved,2026-04-14
TXN0154,ACC003,MER010,784.4,MXN,approved,2026-07-06
TXN0155,ACC019,MER003,212.81,GBP,declined,2026-05-05
TXN0156,ACC001,MER008,811.58,MXN,approved,2026-03-19
TXN0157,ACC015,MER006,888.95,GBP,declined,2026-05-04
TXN0158,ACC015,MER005,183.3,CAD,declined,2026-03-28
TXN0159,ACC008,MER007,516.87,MXN,approved,2026-05-15
TXN0160,ACC001,MER007,250.66,MXN,approved,2026-07-06
TXN0161,ACC010,MER004,548.32,GBP,approved,2026-04-18
TXN0162,ACC020,MER005,611.6,EUR,approved,2026-03-11
TXN0163,ACC010,MER008,34.86,GBP,approved,2026-03-24
TXN0164,ACC010,MER006,674.0,EUR,approved,2026-04-03
TXN0165,ACC018,MER006,480.11,GBP,approved,2026-05-05
TXN0166,ACC016,MER005,673.17,GBP,approved,2026-06-28
TXN0167,ACC003,MER003,679.97,EUR,declined,2026-07-21
TXN0168,ACC012,MER002,712.66,USD,approved,2026-07-16
TXN0169,ACC004,MER008,334.88,GBP,declined,2026-06-04
TXN0170,ACC004,MER004,426.97,MXN,approved,2026-04-26
TXN0171,ACC003,MER008,818.9,GBP,declined,2026-03-30
TXN0172,ACC005,MER001,851.9,GBP,declined,2026-03-30
TXN0173,ACC004,MER004,799.1,EUR,declined,2026-06-25
TXN0174,ACC012,MER009,380.12,EUR,declined,2026-03-26
TXN0175,ACC016,MER010,370.26,GBP,approved,2026-06-03
TXN0176,ACC007,MER008,403.0,EUR,approved,2026-03-26
TXN0177,ACC012,MER009,812.02,GBP,approved,2026-06-10
TXN0178,ACC009,MER004,871.55,CAD,approved,2026-04-24
TXN0179,ACC020,MER001,50.27,GBP,approved,2026-04-02
TXN0180,ACC019,MER004,66.41,MXN,approved,2026-07-29
TXN0181,ACC007,MER004,299.06,EUR,approved,2026-05-10
TXN0182,ACC005,MER003,488.49,EUR,approved,2026-03-07
TXN0183,ACC005,MER001,325.63,EUR,approved,2026-03-05
TXN0184,ACC006,MER005,51.9,CAD,approved,2026-03-17
TXN0185,ACC016,MER008,701.33,MXN,approved,2026-06-24
TXN0186,ACC017,MER004,851.15,USD,approved,2026-06-26
TXN0187,ACC001,MER001,898.74,CAD,declined,2026-03-28
TXN0188,ACC016,MER008,70.77,USD,approved,2026-04-07
TXN0189,ACC003,MER003,251.14,MXN,approved,2026-06-06
TXN0190,ACC020,MER009,268.93,MXN,declined,2026-03-26
TXN0191,ACC004,MER009,650.15,EUR,declined,2026-06-24
TXN0192,ACC008,MER007,308.34,CAD,declined,2026-06-15
TXN0193,ACC004,MER006,386.95,GBP,approved,2026-04-09
TXN0194,ACC016,MER002,86.65,USD,approved,2026-06-19
TXN0195,ACC004,MER006,731.53,MXN,approved,2026-07-29
TXN0196,ACC018,MER009,300.03,USD,declined,2026-05-30
TXN0197,ACC014,MER001,871.72,MXN,approved,2026-05-30
TXN0198,ACC004,MER010,459.13,EUR,declined,2026-04-27
TXN0199,ACC004,MER006,761.61,GBP,approved,2026-05-11
TXN0200,ACC019,MER004,727.46,MXN,approved,2026-05-08
TXN0001,ACC005,MER005,-129.97,MXN,approved,2026-07-28
TXN0002,ACC014,MER010,-362.46,EUR,approved,2026-07-09
TXN0003,ACC016,MER002,-681.43,USD,approved,2026-04-10
TXN0004,ACC014,MER010,-61.86,CAD,declined,2026-07-14
TXN0005,ACC009,MER009,-775.4,USD,approved,2026-07-16
TXN0006,ACC009,,104.84,CAD,approved,2026-06-25
TXN0007,ACC001,,874.84,EUR,approved,2026-05-16
TXN0008,ACC017,,183.03,GBP,approved,2026-07-17
TXN0009,ACC017,,541.06,CAD,approved,2026-03-29
TXN0010,ACC012,,219.31,EUR,approved,2026-03-22
TXN0011,ACC016,MER002,880.3,XYZ,approved,2026-04-03
TXN0012,ACC016,MER009,152.79,XYZ,declined,2026-04-25
TXN0013,ACC018,MER004,643.09,XYZ,approved,2026-06-22
TXN0014,ACC017,MER008,113.3,XYZ,approved,2026-05-27
TXN0015,ACC001,MER010,500.76,XYZ,approved,2026-03-03
TXN0016,ACC003,MER001,209.9,USD,approved,2026-12-01
TXN0017,ACC017,MER004,254.24,CAD,approved,2026-12-01
TXN0018,ACC005,MER010,520.71,EUR,declined,2026-12-01
TXN0019,ACC007,MER002,91.75,CAD,approved,2026-12-01
TXN0020,ACC014,MER008,778.13,USD,approved,2026-12-01
TXN0021,ACC013,MER006,722.53,USD,approved,2026-04-20
TXN0022,ACC007,MER009,407.51,CAD,approved,2026-05-12
TXN0023,ACC015,MER004,788.66,USD,declined,2026-07-20
TXN0024,ACC004,MER001,589.67,MXN,approved,2026-03-25
TXN0025,ACC008,MER003,369.74,CAD,approved,2026-06-12
